2026-04-19 15:27:19.160 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:list:980 | [34m🔗 API Call: list_session[0m
2026-04-19 15:27:19.160 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:list:980 |   └─ Labels={}, MaxResults=10
2026-04-19 15:27:19.596 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:list:1024 |   ✓ ListSession API call async successful[]
2026-04-19 15:27:19.596 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:list:1042 | [32m✅ API Response: ListSession, RequestId=1F337CB0-0104-54D7-A810-3E93F7D70EA3[0m
2026-04-19 15:27:19.596 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:list:1042 | [32m  └─ total_count=0[0m
2026-04-19 15:27:19.596 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:list:1042 | [32m  └─ returned_count=0[0m
2026-04-19 15:27:19.596 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:list:1042 | [32m  └─ has_more=no[0m
2026-04-19 15:30:47.209 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:create:787 | [32m✅ API Response: CreateSession, RequestId=1138AEC2-0F87-5374-A055-93545B6EC369[0m
2026-04-19 15:30:47.209 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:create:787 | [32m  └─ session_id=s-04poml12pdp4wa4c0[0m
2026-04-19 15:30:47.209 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:create:787 | [32m  └─ resource_url=https://wy.aliyun.com/mcp.html?authcode=acv2dt/sRltrPvhVLuu/e+aaCumgWF85Y14N9V3yNwZWACqfeeynpL/w+y9/Sf0iNEAty835T7/1vU0FwQGXHsTe+HU1ZXUoF5/JFdNVDfGmf8OyqcnWFbo7/5Cqqex8HeVwjmDoCBitmt8MIcoiKpr4O4T4e1+8dH0o+pQJGat4hR/x6xPjcT6DqsgLC80ofGggx+PStL+7YfZS3k+AAXPO42F9UFx6XsXjIpzC/jtRKoZEhVCAXuC6hPag7cy6CMo0pI5s4Yz51H0f8FiCXh9F2hxGlChYcdC0fNck2A8LnGz5gbcG7DEKr6vp3EFnDO5ZX9TVzmcHyKUjw1msOH4KrGe9uznwgqrlZOLuwl5BqBwIVD4/ItYj5hf37apzk68r&resourceId=p-0cc7s3n1mdukr45n8&connectionProperties=%7B%22authMode%22%3A%22Session%22%2C%22serviceProvider%22%3A%22Default%22%7D&appId=mcp-server-android&input=true&keyboard=true&productType=AIAgent&resolutionAdaptive=false[0m
2026-04-19 15:30:47.209 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:create:787 | [32m  └─ AppInstanceId=ai-0cc7s3n1mdukpcxki[0m
2026-04-19 15:30:47.210 | AgentBay | INFO     | 57831:8582439488 | agentbay._sync.agentbay:_build_session_from_response:294 | 🆔 Session created: s-04poml12pdp4wa4c0, AppInstanceId: ai-0cc7s3n1mdukpcxki
2026-04-19 15:30:47.219 | AgentBay | INFO     | 57831:6225506304 | agentbay._async._internal.ws_client:_open:301 | WS CONNECT url=wss://30004-s-04poml12pdp4wa4c0.cn-hangzhou.agentbay.wuying.com:8001/__agentbay_internal_ws__
2026-04-19 15:35:16.509 | AgentBay | INFO     | 57831:6225506304 | agentbay._async._internal.ws_client:_open:301 | WS CONNECT url=wss://30004-s-04poml12pdp4wa4c0.cn-hangzhou.agentbay.wuying.com:8001/__agentbay_internal_ws__
2026-04-19 15:49:27.176 | AgentBay | INFO     | 57831:6225506304 | agentbay._async._internal.ws_client:_open:301 | WS CONNECT url=wss://30004-s-04poml12pdp4wa4c0.cn-hangzhou.agentbay.wuying.com:8001/__agentbay_internal_ws__
2026-04-19 15:49:57.435 | AgentBay | INFO     | 57831:6225506304 | agentbay._async._internal.ws_client:_open:301 | WS CONNECT url=wss://30004-s-04poml12pdp4wa4c0.cn-hangzhou.agentbay.wuying.com:8001/__agentbay_internal_ws__
2026-04-19 15:52:26.494 | AgentBay | INFO     | 57831:6225506304 | agentbay._async._internal.ws_client:_open:301 | WS CONNECT url=wss://30004-s-04poml12pdp4wa4c0.cn-hangzhou.agentbay.wuying.com:8001/__agentbay_internal_ws__
2026-04-19 15:58:59.584 | AgentBay | INFO     | 16251:8582439488 | agentbay._sync.agentbay:list:980 | [34m🔗 API Call: list_session[0m
2026-04-19 15:58:59.585 | AgentBay | INFO     | 16251:8582439488 | agentbay._sync.agentbay:list:980 |   └─ Labels={}, MaxResults=10
2026-04-19 15:58:59.801 | AgentBay | INFO     | 16251:8582439488 | agentbay._sync.agentbay:list:1024 |   ✓ ListSession API call async successful[]
2026-04-19 15:58:59.801 | AgentBay | INFO     | 16251:8582439488 | agentbay._sync.agentbay:list:1042 | [32m✅ API Response: ListSession, RequestId=2E06F8FE-0FA7-5ABD-906B-F025E6D0EFDB[0m
2026-04-19 15:58:59.801 | AgentBay | INFO     | 16251:8582439488 | agentbay._sync.agentbay:list:1042 | [32m  └─ total_count=0[0m
2026-04-19 15:58:59.802 | AgentBay | INFO     | 16251:8582439488 | agentbay._sync.agentbay:list:1042 | [32m  └─ returned_count=0[0m
